;marca;preco
503;Placa Mae Intel 1150 2xddr3 Hdmi/vga/m-atx 4º Geracao Ih81-ma6 Afox;R$ ---
504;Placa Mãe Biostar A520mh Amd Am4  Matx  Ddr4;R$ ---
505;Placa Mãe Gigabyte B450M Aorus Elite AMD AM4 mATX DDR4 9MB45MAET-00-10;R$ ---
506;Placa Mae Gigabyte X570 Gaming X, Amd Am4 Atx, Ddr4 Hdmi;R$ ---
507;Placa Mãe ASRock B460 Phantom Gaming 4, LGA 1200 Intel, USB 3.2, Slot M.2 - ATX;R$ ---
508;Placa Mãe Gigabyte lga 1200/ddr4/hdmi/d-sub/raid/m.2/usb 3.2 - H410m H;R$ ---
509;Placa Mãe Asus Prime - A320M-K/BR;R$ ---
510;Placa Mãe Gigabyte, Amd Am4, Atx, Ddr4 - A520M DS3H;R$ ---
511;Placa Mãe Para Processador AMD, DDR4, Socket AM4, Chipset AMD B550, ASRock - B550M-ITX/AC;R$ ---
512;Placa Mãe Biostar AM3, 6+A960D+V3;R$ ---
513;Placa Mãe Asus Prime B450m Gaming/br 3412;R$ ---
514;Placa Mãe Asus 1200 H510m-k Prime Ddr4 Hdmi 3430;R$ ---
515;Placa Mãe Z490m, Gigabyte, Intel, Lga 1200, Matx, Ddr4;R$ ---
516;Placa Mãe Asus Para Intel 1200 Z590-e Rog Strix Gaming Wifi 4xddr4 Atx;R$ ---
517;Placa Mãe Gigabyte H310M, M.2 2.0, DDR4, LGA 1151;R$ ---
518;Placa Mae, Bluecase, Bmbh61-d, Ddr3 1155, Vga Hdmi;R$ ---
519;Placa Mãe I3/i5/i7 Gigabyte Z490 Aorus Master 10 Geração;R$ ---
520;Placa Mae Asus Tuf Intel Lga 1200 ATX DDR4 - Gaming Z590-plus;R$ ---
521;Placa Mãe H61 Brazilpc - Bpc-h61c-v2.3;R$ ---
522;Placa Mae Intel 1150 Ddr3 Vga/hdmi Gl-h81-ma Goline;R$ ---
523;Placa Mae Intel 1155 DDR3, HDMI VGA - Gl-h61-ma Goline;R$ ---
524;Placa Mãe H310-cnbls Brazilpc 1151;R$ ---
525;Placa Mãe Goline, Chipset Intel LGA775, DDR3 -  GL-41-MA G41;R$ ---
526;Placa Mãe Login Log-bsw1-d2, Com Processador Intel Pentium J3;R$ ---
527;Placa Mãe Asus Prime B550M-k, AM4, DDR4, VGA, DVI, HDMI, M2, MATX;R$ ---
528;Placa Mae Gigabyte B365m Ds3h;R$ ---
529;Placa Mãe Asus Rog Strix Gaming 1200, ddr4, hdmi, m2, miniit - Pn Rog Strix Z490-i;R$ ---
530;Placa Mãe S1151 H110 Ddr4 Goldentec;R$ ---
531;Placa Mãe Gigabyte Z490, Aorus Elite, Socket Lga, 1200 ATX - Z490-aoruselite;R$ ---
532;Placa Mãe Gigabyte B450 Aorus M, AM4, DDR4, HDMI, Micro ATX;R$ ---
533;Placa Mãe Gigabyte B450M H, AM4, DDR4, HDMI, Micro ATX;R$ ---
534;Placa Mãe 1155 Micro ATX TG-H61-S, DDR3, VGA / HDMI, Foxconn Box;R$ ---
535;Placa Mãe Asus, Tuf Gaming B550-plus;R$ ---
536;Placa Mãe Asus Rog Strix Z490-i Gaming Lga1200 Ddr4 Miniit;R$ ---
537;Placa Mãe Gigabyte H310m, S2p 2.0, Lga1151, Ddr4, M-atx;R$ ---
538;Placa Mãe 1150 Micro ATX, DDR3, VGA / HDMI, Afox, Box - Ih81-ma5;R$ ---
539;Placa Mãe Asus Prime B550m-k Am4 Ddr4 M2 Matx;R$ ---
540;Placa Mae 1151 Pinos Asrock H310cm-hg4,  HDMI/VGA/DDR4;R$ ---
541;Placa Mãe Gigabyte H310m M.2 2.0 Intel Lga 1151 Matx Ddr4;R$ ---
542;Placa Mae Lga 1200 Micro Atx H410m-d Prime Ddr4 Vga/hdmi Usb 3.2 Asus Box;R$ ---
543;Placa Mãe Gigabyte H510m rev.1.0 , Intel Lga1200, Atx, Ddr4 - H510m H;R$ ---
544;Placa Mae Xeon Supermicro X8sil-v;R$ ---
545;Placa Mãe Asus Prime Z590-p Wifi, Intel Lga1200, Atx, Ddr4 - 90mb1810-m0eay0;R$ ---
546;Placa Mãe Asrock X570 Phantom Gaming - Soquete Amd Am4;R$ ---
547;Placa Mãe Asus Ex-b460m-v5 Lga1200 - Chipset Intel B460 - Usb 3.2 - Slot M.2 - Micro Atx;R$ ---
548;Placa Mãe Msi Z390-a Pro Lga 1151 - Chipset Intel Z390 - 8ª E 9ª Geração  Slot M.2;R$ ---
549;Placa Mãe Asus H110m-d Lga 1151 Ddr4 - Asus;R$ ---
550;Placa Mãe Gigabyte Z390 D Lga 1151 - Chipset Intel Z390 - 8a E 9a Geração - Slot M.2 - Atx;R$ ---
551;Placa Mae Intel Gigabyte Z490m Gaming X Ddr4 Lga 1200 10a Geração;R$ ---
552;Placa Mae P/ Processador AMD, Gigabyte B450 Gaming X Ddr4 - Am4;R$ ---
553;Placa Mae 1151 H310m 2xddr4 32gb Hdmi/vga 8º Geração H310m-m.2 Plus V20 Colorful;R$ ---
554;Placa Mãe Bluecase Bmbh81-t lga 1150 Ddr3 Chipset Intel H81;R$ ---
555;Placa Mae Pcware Ipx1800e2 Com Celeron Dual-core 2.41ghz, Hdmi, E M-sata;R$ ---
556;Placa Mae Gigabyte B365m Ds3h Wifi, Intel Lga 1151, Micro Atx, Ddr4;R$ ---
557;Placa Mãe Asrock A520m-hvs Amd Am4 Matx Ddr4 - 90-mxbe60-a0uayz;R$ ---
558;Placa Mae H61, Ddr3, Usb 2.0, Vga E Hdmi, Lga 1155 - Tg-h61-303-u/p;R$ ---
559;Placa Mae B450m Gaming V14 Cvn Amd Colorful;R$ ---
560;Placa Mae Asus Intel Lga (1200) Atx Ddr4 - Rog Strix Z590-e Gaming Wifi;R$ ---
561;Placa Mãe Asus Tuf Gaming B450mpro Gaming Amd B450 Matx Ddr4;R$ ---
562;Placa Mae Amd Am4 A520 2xddr4 Hdmi/vga A520m-hvs Asrock;R$ ---
563;Placa Mae Intel 1151 B360m 4xddr4 64gb Dvi/hdmi 8ª Geração Mortar Msi;R$ ---
564;Placa Mae Amd Am4 A320m-k Prime 2xddr4 M.2 Hdmi/vga A320m-k Asus;R$ ---
565;Placa Mãe Lga 1156 H55 Kazuk - Ddr3 8gb Hdmi - Kzkh55-b;R$ ---
566;Placa Mae Gigabyte B550i Aorus Pro Ax 1.0;R$ ---
567;Placa Mãe, Daixu B75m, Socket Lga 1155 Para I3 I5 I7 Cpu, Suporte Para Ddr3, Memória De Até 16 Gb;R$ ---
568;Placa Mae Asus Rog Strix Z590-a Gaming Wi-fi Ddr4 Lga1200;R$ ---
569;Placa Mãe Msi B365m Pro-vh Lga 1151 - Chipset Intel B365 - Usb 3.1 - Slot M.2 - Micro Atx;R$ ---
570;Placa Mãe Gigabyte X570 Aorus Elite Wi-fi - Wi-fi - Led Rgb - Slot M.2 Usb 3.2 Atx Soquete Amd Am4;R$ ---
571;Placa Mae (intel) Gigabyte C621 Aorus Xtreme Ddr4 Lga 3647;R$ ---
572;Placa Mae Nzxt N7 Z590 Atx / Ddr4  White Nzxt;R$ ---
573;Placa Mae Tuf Gaming X570-pro Wi-fi 90mb15h0-meay0 Asus;R$ ---
574;Placa Mãe Supermicro X11dpi-n  Lga3647 E-atx;R$ ---
575;Placa Mãe Kazuk Lga 1156 H55 Ddr3 8gb Hdmi - Kzkh55-b;R$ ---
576;Placa Mãe Kazuk Lga 1156 H55 Ddr3 8gb Hdmi Kzkh55-b;R$ ---
577;Placa Mãe Kazuk Lga 1156 H55 Ddr3 8gb Hdmi - 1600mhz;R$ ---
578;Placa Mae Gigabyte A520i Ac 1.1;R$ ---
579;Placa Mãe LGA 1155 H61 Knup;R$ ---
580;Placa Mãe Asus Tuf Gaming B560m-plus Intel Lga1200 Micro Atx DDR4;R$ ---
581;Placa Mãe Asus Rog Maximus Xiii Hero, Intel Lga1200, Ddr4, Atx, Aura Sync Rgb - 90mb15x0-m0eay0;R$ ---
582;Placa Mãe Kazuk Lga 1151 H110 Ddr3 16gb Hdmi Kzkh110-b;R$ ---
583;Placa Mãe Kazuk Chipset Intel H110 Ddr3 Lga1151 - 16gb;R$ ---
584;Placa Mãe Kazuk Lga 1151 H110 Ddr3 16gb Hdmi Kzkh110-b;R$ ---
585;Placa Mae AMD Asus X570 Plus Gaming Tuf Ddr4 Am4;R$ ---
586;Placa Mãe Gigabyte B560m Ds3h Ac Intel B560 Lga 1200 Micro Atx;R$ ---
587;Placa Mae Asus B550m-plus Tuf Gaming, Amd Am4, Ddr4;R$ ---
588;Placa Mae Asus Prime A320m-c R2.0 Am4/ddr4/hdmi/dvi/m2/matx;R$ ---
589;Placa Mae Gigabyte Z490 Gaming X lga1200/ddr4/hdmi;R$ ---
590;Placa Mae Brazilpc 1151 Bpc-h110m-d4 Vga Hdmi Ddr4 V1.31;R$ ---
591;Placa Mae Asus Prime Z690-p D4;R$ ---
592;Placa Mãe 1200 Biostar Z490t-silver Itx Hdmi/vga/m.2;R$ ---
593;Placa Mae Lga 1155 Bmb75-d Gigabit Box Bluecase;R$ ---
594;Placa Mãe Lga 1155 H61 / B75 Ddr3 I3, I5 E I7 - Até 16gb De Memória Ram - Hdmi E Vga;R$ ---
595;Placa Mae Intel 1150 Ih81-ma 2xddr3 Hdmi/vga 4  G Ih81-ma Afox;R$ ---
596;Placa Mãe Gigabyte Aorus Ultra 1.0 - Z590i;R$ ---
597;Placa Mae Lga 1155 Bmbh61-d Ddr3 / Vga / Hdmi Box Bluecase;R$ ---
598;Placa Mãe Asrock Z690 Phantom Gaming 4, Chipset Z690, Intel Lga 1700, Atx, Ddr4, 90-mxbh70-a0uayz;R$ ---
599;Placa Mae Prime X570-pro ASUS AMD 90mb11b0-m0eay0;R$ ---
600;Placa Mãe Bpc-b75ffk-g - lga 1155 Ddr3 - Chipset Intel B75;R$ ---
601;Placa Mãe Asrock B560 Steel Legend, Chipset B560, Intel LGA 1200 ATX, DDR4 - 90-mxbfd0-a0uayz;R$ ---
602;Placa Mãe Asus Rog Strix B660-g Gaming Wi-fi Socket Lga 1700 / Ddr5;R$ ---
603;Placa Mae Gigabyte B550 Aorus Pro Ax 1.0;R$ ---
604;Placa Mãe Gigabyte B560m Gaming HD, Led RGB, DDR4, Matx, LGA 1200, 10ª e 11ª Geração;R$ ---
605;Placa Mae Rog Strix Z690-f Gaming Wifi 90mb18m0-m0eay0;R$ ---
606;Placa Mae Asus Prime H310m-e/br Lga 1151 Ddr 4 Matx 8 Geração;R$ ---
607;Placa Mãe Msi H510m Pro Series Intel H510 Lga 1200 Atx DDR4;R$ ---
608;Placa Mãe Asus Tuf Gaming X570 Plus Amd Am4 Atx Ddr4;R$ ---
609;Placa Mãe Amd Am4 A320m-k Prime 2xddr4 M.2 HDMI/VGA - A320m-k Asus;R$ ---
610;Placa Mãe Asus Tuf Z590 Plus Wifi  Motherboard;R$ ---
611;Placa Mãe Asus Prime B660m-a D4 Lga 1700  Matx Ddr4;R$ ---
612;Placa Mãe H310, DDR4 Itzr - Belmicro;R$ ---
613;Placa Mãe Gigabyte X570 Aorus Elite Amd Am4 Atx Ddr4;R$ ---
614;Placa Mae Intel 1200 Z590 Rgb M.2 Pcie 4xddr4 11º Ger Z590 Extreme Wifi 6 Asrock;R$ ---
615;Placa Mãe Prime H310m R2.0 Serie S Azus M6334;R$ ---
616;Placa Mãe Valianty Intel Lga1155 Ddr3 1600mhz H61-ma2;R$ ---
617;Placa Mãe, Esonic, 1151 H310CNB, Oem;R$ ---
618;Placa Mãe Pcware 1200 Ipmh510g Lga1200 Oem;R$ ---
619;Placa Mae Asus Prime H510m-k M.2;R$ ---
620;Placa Mãe Desktop 1151 H110 DDR3 32Gb - Isync;R$ ---
621;Placa Mãe Desktop 1151 Ddr3 Isync;R$ ---
622;Placa Mae, Desk Asus 1155 H61m-e, Oem;R$ ---
623;Placa Mãe, Asus 1150 B85M-K, Oem;R$ ---
624;Placa Mãe, Asus 1150 Q87M-E, Oem;R$ ---
625;Placa Mãe, Brazilpc, 1150 BPC-B85JEK-G, Oem;R$ ---
626;Placa Mae Desk Brazilpc Fm2 Bpc-a88m(2xddr3/1xvga/1xhdmi/2 Xusb3.0/1xrede/1xaudio);R$ ---
627;Placa Mãe H61 Brazilpc Bpc-b75m-tg 10/100.;R$ ---
628;Placa Mãe Notebook Positivo Q432a Atom Z8250 2gb Ssd 32gb;R$ ---
629;Placa Mãe Asrock A320M-HD, R4 DDR4, Socket AM4;R$ ---
630;Kit Placa Mãe H81, Proc I3 4130, Memoria 8Gb DDR3, Cooler, SSD 240;R$ ---
631;Kit Placa Mãe H110, Processador I3 6100, Memoria 4 Gb DDR3, Cooler;R$ ---
632;Kit Placa Mãe H81, Processador I5 4570, Memoria 8 Gb DDR3, Cooler;R$ ---
633;Kit Upgrade - Placa Mãe H61 + Processador I5 3470 + Cooler;R$ ---
634;Kit 1155 Placa Mae 1155, Processador I3 2100, DDR3 8Gb;R$ ---
635;Kit 1151 Placa Mãe H110, Processador I3 7100, DDR3 4GB;R$ ---
636;Kit Upgrade - Placa Mae H110 + Processador I5 7500 + DDR3 4GB;R$ ---
637;Kit Upgrade, Intel I3 10100f + Placa Mãe H510m H + Memória Ddr4 16gb (2x8gb);R$ ---
638;Bateria De Lítio Cr2032 Elgin 82193 - Unidade - Para Placa Mãe, Alarmes E Relógios;R$ ---
639;Kit Upgrade, Intel I5, 4570 + Placa Mãe Asrock H81m Lga 1150.;R$ ---
640;Kit Upgrade AMD Ryzen 5 5600, Placa Mãe Asus Prime A520M-E DDR4, Memória 16GB 2x8, DDR4 3000mhz;R$ ---
641;Kit Upgrade Amd Ryzen 5 5600g + Placa Mãe Asus B450 Gaming Ii Matx;R$ ---
642;Kit Upgrade Pc Amd Ryzen 5 4500 + Placa Mãe Am4 A320m Ddr4;R$ ---
643;Kit Upgrade Amd, Ryzen 5 5600G, Placa Mãe Asus, Prime A520M-E DDR4;R$ ---
644;Kit Upgrate, Amd Ryzen 5 5600G, Placa Mãe A320m, Mem DDR4 16GB;R$ ---
645;Kit Upgrade AMD Ryzen 5 5600, Placa Mãe Asus Prime A520M-E DDR4, Memória 8GB DDR4 3000mhz;R$ ---
646;Kit Upgrade, AMD Ryzen 5 5600, Placa Mãe Asus Prime - A520M-E;R$ ---
647;Kit Upgrade Intel Core I5 10400 / Placa Mãe Gigabyte B560m Aorus Elite;R$ ---
648;Kit Placa Mãe H61 1155, I3 2100, Cooler, Ssd 256Gb;R$ ---
649;Kit Upgrade, Processador Ryzen 5 4600g, Placa Mãe Msi A320m-a Pro Max, Memória 8GB DDR4, SSD 256GB;R$ ---
650;Kit Upgrade: AMD Ryzen 5 5600g + Placa Mãe Gigabyte B550m Aorus Elite;R$ ---
651;Kit Upgrade, Processador AMD Ryzen 5 4600g, Placa Mãe Msi A320m-a Pro Max, Memória 16GB DDR4;R$ ---
652;Kit Upgrade Processador Amd Ryzen™ 5 4600g + Placa Mãe Gigabyte  A520m S2h + Memória 8gb Ddr4;R$ ---
653;Kit Upgrade - Neologic NLI83089 AMD 3000G + Placa Mãe Asus Prime A320M-K + Memória Neologic 16GB, 2x 8GB, 3200MHz - NL8GB;R$ ---
654;Kit Upgrade, Processador Amd Ryzen 5 4600g, Placa Mãe Msi A320m-a Pro Max,  Memória 8GB DDR4;R$ ---
655;Kit Upgrade Processador Amd Ryzen™ 7 5700g + Placa Mãe Gigabyte  A520m S2h + Memória 8gb Ddr4;R$ ---
656;Kit Upgrade - Neologic NLI83088, AMD 3000G + Placa Mãe Asus Prime A320M-K + Memoria Neologic 8GB, 3200MHz - NL8GB;R$ ---
657;Computador Skill Intel Core I5, 16GB DDR4, SSD 120GB + HD 3TB, Geforce GT, Placa Mãe ASUS - 38128;R$ ---
658;Kit 1155, Placa Mae 1155, Processador I5 2500s,  DDR3 4GB;R$ ---
659;Kit Placa Mãe H310 Asus Prime + SSD Kingston 240gb;R$ ---
660;Kit Placa Mãe Gigabyte, B550 Aorus + Fonte Thermaltake, 600W, 80 Plus;R$ ---
661;Kit Placa Mãe Gigabyte H410, Proc I3-10105, 16Gb  DDR 4, Cooler;R$ ---
662;Kit Placa Mãe H81, Proc I7 4770, Memoria 16Gb Ddr3, Cooler, Ssd 480;R$ ---
663;Kit Placa Mãe, Gigabyte H410, Proc I5-10400, 8Gb DDR 4, Cooler;R$ ---
664;Kit Placa Mãe Gigabyte H410, Proc I5-10400, 16Gb DDR 4, Cooler;R$ ---
665;Kit Placa Mãe H110 + Processador I3 7300 + Memoria 8GB Ddr3 + Cooler;R$ ---
666;Kit Placa Mãe H110 + Processador I5 6500 + Memoria 4 Gb Ddr3 + Cooler;R$ ---
667;Combo Placa Mae Hm55/corei5/4gb;R$ ---
668;Combo Placa Mae Hm55/corei3/4gb;R$ ---
669;Kit, Placa Mãe  + Cpu Sempron 3850 Quad Core + Cooler Fan  Mitsushiba;R$ ---
670;Kit - Placa Mãe AMD KAM1-I, Com Cooler Fan;R$ ---
671;Kit 1155 Placa Mae 1155 + Processador I5 2310 + Ddr3 8gb;R$ ---
672;Kit 1150 Placa Mae + Processador I3 4130 + Ddr3 4gb;R$ ---
673;Kit 1155 Placa Mae 1155 + Processador I5 2310 + Ddr3 4gb;R$ ---
674;Kit 1155 Placa Mãe 1155 + Processador I3 3220 + DDR3 4Gb;R$ ---
675;Kit 1200 Placa Mae 1200 + Processador I5 10400+ Ddr4 8gb H510giga;R$ ---
676;Kit 1155 Placa Mae 1155 + Processador I5 3340 + Ddr3 4gb;R$ ---
677;Kit Upgrade - Placa Mãe Asrock H410M-HVS, LGA 1200 + Intel Core I3 10100, 4.30GHz 10a Geração + Memória 8GB DDR4 + SSD 480GB;R$ ---
678;Kit Upgrade, Processador AMD Ryzen 5 5600g, Placa Mãe Gigabyte  A520m S2h, Memória 8GB DDR4;R$ ---
679;Kit 3 em 1, Placa Mãe 1155, Processador I5 2400, DDR3 4GB;R$ ---
680;Kit Processador Intel Core i7-11700K 11ª Geração + Placa Mãe Asus TUF GAMING Z590-PLUS WIFI Intel Z590 LGA1200, DDR4, ATX - 90MB16C0-M0EAY0;R$ ---
681;Kit Upgrade Skill Placa mãe Asrock B450M Steel Legend AMD AM4, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4, SSD 120GB;R$ ---
682;Kit Upgrade Skill Placa Mãe Asus B450m-gaming/br Amd Am4, Amd Ryzen 5 3600 4.2ghz, Ssd 120gb;R$ ---
683;Kit Upgrade Skill Placa mãe Asrock B450M Steel Legend AMD AM4, AMD Ryzen 5 3600 4.2Ghz, SSD M2 120GB;R$ ---
684;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4, SSD 240GB;R$ ---
685;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 3 3200G 4.0Ghz, 8GB DDR4, SSD 120GB;R$ ---
686;Kit Upgrade Skill Placa mãe Asrock B450M Steel Legend AMD AM4, AMD Ryzen 3 3200G 4.0Ghz, SSD 480GB;R$ ---
687;Kit Upgrade Skill Placa mãe Asrock B450M Steel Legend AMD AM4, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4;R$ ---
688;Kit Upgrade Skill Placa mãe Asrock B450M Steel Legend AMD AM4, AMD Ryzen 3 3200G 4.0Ghz, 8GB DDR4, SSD 120GB;R$ ---
689;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR, AMD Ryzen 5 3600 4.2Ghz, SSD 240GB;R$ ---
690;Kit Upgrade Skill Placa Mãe ASUS A320M-K/BR + Processador AMD Ryzen 3 3200G + Memória 8GB DDR4 + SSD 240GB;R$ ---
691;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 5 3600 4.2Ghz;R$ ---
692;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 5 3400G 4.2Ghz,  8GB DDR4;R$ ---
693;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR AMD AM4, Processador AMD Ryzen 3 3200G 4.0Ghz, SSD Kingston 240GB;R$ ---
694;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4 + Processador AMD Ryzen 3 3200G + SSD Kingston 480GB;R$ ---
695;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 5 3400G 4.2Ghz, SSD Kingston 480GB;R$ ---
696;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 3 3200G, SSD 480GB;R$ ---
697;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 3 3200G 4.0Ghz, SSD 120GB;R$ ---
698;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 5 3400G 4.2Ghz, SSD Kingston 240GB;R$ ---
699;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4 3000Mhz, SSD 240GB;R$ ---
700;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 3 3200G 4.0Ghz, SSD 240GB;R$ ---
701;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4, SSD 120GB;R$ ---
702;Kit Upgrade Skill Placa mãe ASUS B450M-Gaming/BR, AMD Ryzen 5 3400G 4.2Ghz, 8GB DDR4, SSD 480GB;R$ ---
703;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 5 3600 4.2Ghz, SSD M2 Kingston 120GB;R$ ---
704;Kit Upgrade Skill Placa mãe ASUS A320M-K/BR, AMD Ryzen 5 3400G 4.2Ghz, SSD 120G;R$ ---
705;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4,  AMD Ryzen 3 3200G 4.0Ghz, 8GB DDR4;R$ ---
706;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR AMD AM4, Processador AMD Ryzen 3 3200G 4.0Ghz;R$ ---
707;Kit Upgrade Skill Placa mãe Asrock A320M-HDV AMD AM4, Processador AMD Ryzen 3 3200G 4.0Ghz;R$ ---
708;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR, AMD Ryzen 5 3400G 4.2Ghz, SSD 240GB;R$ ---
709;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR, AMD Ryzen 5 3400G 4.2Ghz, SSD 480GB;R$ ---
710;Kit Upgrade Skill Placa mãe Prime ASUS A320M-K/BR AMD AM4, Processador AMD Ryzen 5 3400G 4.2Ghz;R$ ---
711;Kit Upgrade Skill Placa mãe ASUS A320M-K/BR, AMD Ryzen 5 3600 4.2Ghz, 8GB DDR4;R$ ---
712;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i3 10100 4.30Ghz Décima Geração, Memória 8GB DDR4;R$ ---
713;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i5 10400F 4.30Ghz Décima Geração, SSD 240GB;R$ ---
714;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i5 10400F 4.30Ghz Décima Geração,8GB DDR4, SSD 480GB;R$ ---
715;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i5 10400 4.30Ghz Décima Geração;R$ ---
716;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i5 10400 4.30Ghz Décima Geração, SSD 240GB;R$ ---
717;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100F 4.30Ghz Décima Geração, SSD Kingston 480GB;R$ ---
718;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i5 10400 4.30Ghz Décima Geração, SSD 480GB;R$ ---
719;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i5 10400F 4.30Ghz Décima Geração, 8GB DDR4, SSD 240GB;R$ ---
720;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200 , Intel Core i5 10400 4.30Ghz Décima Geração, 8GB DDR4 , SSD 240GB;R$ ---
721;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100 4.30Ghz Décima Geração, SSD 480GB;R$ ---
722;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i3 10100 4.30Ghz Décima Geração, SSD Kingston 240GB;R$ ---
723;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100F 4.30Ghz Décima Geração;R$ ---
724;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100F 4.30Ghz Décima Geração, SSD Kingston 240GB;R$ ---
725;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Intel Core i5 10400 4.30Ghz Décima Geração, 8GB DDR4;R$ ---
726;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100 4.30Ghz Décima Geração;R$ ---
727;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i3 10100 4.30Ghz Décima Geração, 8GB DDR4, SSD 480GB;R$ ---
728;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i3 10100 4.30Ghz Décima Geração;R$ ---
729;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100F 4.30Ghz Décima Geração, SSD 120GB;R$ ---
730;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Processador Intel Core i3 10100F 4.30Ghz Décima Geração, SSD Kingston 240GB;R$ ---
731;Kit Upgrade Skill Placa mãe ASROCK Fatal1ty B360M, Processador Intel Core i5 9400F 4.10Ghz Nona Geração, 8GB DDR4, SSD 240GB;R$ ---
732;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i5 10400 4.30Ghz Décima Geração, 8GB DDR4, SSD 240GB;R$ ---
733;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i5 10400 4.30Ghz Décima Geração, SSD 120GB;R$ ---
734;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Intel Core i3 10100F 4.30Ghz Décima Geração, SSD 120GB;R$ ---
735;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Intel Core i5 10400F 4.30Ghz Décima Geração, 8GB DDR4, SSD 240GB;R$ ---
736;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Intel Core i3 10100F 4.30Ghz Décima Geração, 8GB DDR4;R$ ---
737;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100 4.30Ghz Décima Geração, 8GB DDR4;R$ ---
738;Kit Upgrade Skill Placa mãe Asrock H410M-HVS LGA 1200, Intel Core i3 10100F 4.30Ghz Décima Geração, 8GB DDR4, SSD 240GB;R$ ---
739;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i3 10100F 4.30Ghz Décima Geração, 8GB DDR4, SSD 240GB;R$ ---
740;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100 4.30Ghz Décima Geração, SSD 240GB;R$ ---
741;Kit Upgrade Skill Placa Mãe Asus H410M-E, Intel Core i3 10100F 4.30Ghz Décima Geração, 8GB DDR4, SSD 480GB;R$ ---
742;Kit Upgrade Skill Placa mãe ASROCK Fatal1ty B360M Performance LGA 1151, Processador Intel Core i5 9400F 4.10Ghz Nona Geração, SSD M2 Kingston 120GB;R$ ---
743;Kit Upgrade Skill Placa Mãe Asus H410M-E, Processador Intel Core i3 10100 4.30Ghz Décima Geração, SSD 120GB;R$ ---
