;marca;preco
134;Placa Mae Brazilpc Bpc-h310 Cnbls 1151 Vga Hdmi Usb 3.0;R$ 428,54
135;Placa Mãe Bluecase Bmbh61-i2hbx - LGA 1155 DDR3 - Chipset Intel H61;R$ 492,79
136;Placa Mãe Gigabyte B660M Gaming AC, Wi-Fi, DDR4, Matx, LGA1700;R$ 1.394,01
137;Placa Mãe Gigabyte Z590 Gaming X Intel;R$ 3.019,00
138;Placa Mae Intel 1700, H610M, M.2, 2xDDR4, HDMI/VGA/DP, 12Gen, H610m-k, M.2, Colorful;R$ 632,50
139;Placa Mãe Arktek Ak-h110m Eg DDR4, Socket Lga 1151 HDMI/ VGA;R$ 912,95
140;Placa Mãe Asrock H610m-hvs, Matx Lga 1700, DDR4, HDMI, VGA;R$ 661,41
141;Placa Mãe, Intel H55 Express, Oxybr, Lga 1156;R$ 329,90
142;Placa Mãe Bluecase Ddr3 Lga 1155 BMBb75-g3hgu 10/100/1000 Usb 3.0 Hdmi Matx;R$ 429,90
143;Placa Mãe Asus Rog Strix Z590-i Wifi Lga 1200 Ddr4;R$ 4.299,00
144;Placa Mae Asus Rog Intel Lga (1200) Micro Atx Ddr4 - Strix Z590-f Gaming Wifi;R$ 4.690,00
145;Placa Mãe Asus Rog Strix Z590-I Gaming Intel;R$ 3.769,00
146;Placa Mãe Bpc-h55-v1.51 - (lga 1156 Ddr3) - Chipset Intel H55;R$ 475,19
147;Placa Mãe Integrada Pcware Ipx4020e, Celeron Dual Core N4020 2.8ghz, Ddr4 So-dimm, Hdmi, M.2 2280;R$ 548,60
148;Placa Mãe Gigabyte H310M-DS2, Intel LGA 1151, Micro ATX, DDR4 2666, Coffee Lake;R$ 599,00
149;Placa Mãe Kazuk 1155;R$ 489,90
150;Placa Mãe H61MA5, BRX;R$ 629,99
151;Placa Mãe H55ma7 - Brx;R$ 589,99
152;Placa Mãe Asus Rog Strix Z590-a Gaming Wifi Lga 1200;R$ 4.195,95
153;Placa Mãe Motherboard H410m-ac, Asrock Atx, Lga1200-sockel - 90-mxbdt0-a0uayz;R$ 1.218,79
154;Placa Mãe Gigabyte B660m D3h D4, DDR4, Micro-atx - Lga1700;R$ 1.510,11
155;Placa Mãe Dell Latitude E6440;R$ 560,03
156;Placa Mae AMD, AM4, A320M, M.2, 2xDDR4, HDMI/VGA, A320-m.2, Pro, V14, Colorful;R$ 483,75
157;Placa Mae Goline  H61-ma, Intel 1155 Micro ATX, DDR3, HDMI/VGA 3 Geração;R$ 337,50
158;Placa Mãe Knup Kp-h81k, Lga 1150, Micro Atx, Ddr3, USB 3.0, HDMI, M.2 Pcie Nvme, Rede Gigabit;R$ 390,31
159;Placa Mãe Afox Ih61-ma5-v3, Chipset H61 Intel Lga 1155, mAtx, DDR3;R$ 358,59
160;Placa Mãe, Intel H510 Express, Oxybr, Lga 1200;R$ 583,90
161;Placa Mãe, Desktop, 1155, DDR3 - Isync;R$ 470,00
162;Placa Mãe Brazil Pc Bpc-H310m Ddr4 1151 Som Video Rede;R$ 654,91
163;Placa Mãe Micro ATX AFOX 4ª Geração LGA 1150 Intel H81 VGA, HDMI, USB 3.0, DDR3 Até 8GB -  IH81-MA6;R$ 499,99
164;Placa Mãe PcWare Pro R.2, Intel 8a E 9a Geração, DDR4, Lga1151 - IPMH310G;R$ 494,78
165;Placa Mãe Biostar P/ Processador AMD, HDMI, DDR3 - A68N-2100K;R$ 487,40
166;Placa Mãe BrazilPC LGA1150, DDR3, Som, Vídeo e Rede, B85M-TG;R$ 607,19
167;Placa Mãe BrazilPC 1155, BPC H61C;R$ 449,10
168;Placa Mae Bluecase Amd Bmb320-d Box Ddr4 Am4 Rede Giga / Vga / Hdmi;R$ 566,90
169;Placa Mãe Asus Prime Z590-p - Intel 11 Ger. Socket 1200;R$ 2.159,00
170;Placa - Mãe Galax B365M, Intel, LGA 1151 Matx, DDR4, Chipset B365 - Ib365magchj1cw;R$ 674,90
171;Placa Mãe GALAX A320M, AMD AM4, M-ATX, DDR4 - Aa320magl01bw;R$ 589,90
172;Placa Mae Lga 1155 H61 Box Goldentec X-linne;R$ 393,27
173;Placa Mãe Colorful H410m-t Pro V20, Chipset H410, Intel Lga 1200, Matx, DDR4;R$ 771,21
174;Placa Mãe H61-ma5, Afox, Lga 1155, Ddr3, Vga/hdmi, M-atx;R$ 680,94
175;Placa Mae Gigabyte Z590 Ud Ac 1.1;R$ 2.499,00
176;Placa Mae Asus Prime Cpu Integrada Intel Celeron, Ddr4 - J4005i-c/br;R$ 746,91
177;Placa Mãe Gigabyte Z490 Ud Lga1200 Ddr4 Hdmi;R$ 1.679,90
178;Placa Mãe 1151 DDR3, VGA - HDMI Goline - GL-H110-MA;R$ 713,90
179;Placa Mae Pcware Ipx1800g2, Com Celeron Dual-core 2.41ghz, Hdmi, E M-sata;R$ 524,00
180;Placa Mãe B360m Pro-vh Msi 1151;R$ 1.299,00
181;Placa Mae B560m-d Battle-ax Pro V20 Intel 1200 Colorful;R$ 1.073,14
182;Placa Mae A320m-m.2 Pro V15 Amd Colorful;R$ 642,25
183;Placa Mãe Kazuk Lga 1155 H61 Ddr3 16gb Hdmi - Kzkh61-b;R$ 416,42
184;Placa Mãe Goline H81 Gl-h81-ma/ Soquete 1150/ 2xddr3;R$ 549,90
185;Placa Mãe Gigabyte Z690m A Elite DDR4/ Intel Lga 1700 Matte Black;R$ 2.091,51
186;Placa Mãe Kazuk Lga 1155 H61 Ddr3 16gb Hdmi - 2/3 Geração;R$ 416,42
187;Placa Mae Duex Intel Dx-g41z Lga 775 Ddr3;R$ 389,99
188;Placa Mãe Kazuk ,LGA 775, G41, DDR3, 8GB - Kzkg41-b;R$ 442,18
